Ticker,Security,GICS.Sector,GICS.Sub.Industry,Market.Cap,,
CHTR,Charter Communications,Communication Services,Cable & Satellite,1.42E+11,,
CI,Cigna,Health Care,Managed Health Care,71337548125,,
CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,19556305138,,
CL,Colgate-Palmolive,Consumer Staples,Household Products,66941231360,,
CLX,Clorox,Consumer Staples,Household Products,20648492815,,
CMA,Comerica,Financials,Diversified Banks,10111240000,,
CMCSA,Comcast,Communication Services,Cable & Satellite,2.72E+11,,
CME,CME Group,Financials,Financial Exchanges & Data,74243999223,,
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,52851226597,,
CMI,Cummins,Industrials,Industrial Machinery,34154818412,,
CMS,CMS Energy,Utilities,Multi-Utilities,18323524692,,
CNC,Centene Corporation,Health Care,Managed Health Care,36696764184,,
CNP,CenterPoint Energy,Utilities,Multi-Utilities,15916142788,,
COF,Capital One Financial,Financials,Consumer Finance,79113821292,,
COG,Cabot Oil & Gas,Energy,Oil & Gas Exploration & Production,6426600335,,
COO,The Cooper Companies,Health Care,Health Care Supplies,21635116914,,
COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,75986208090,,
COST,Costco,Consumer Staples,Hypermarkets & Super Centers,1.97E+11,,
CPB,Campbell Soup,Consumer Staples,Packaged Foods & Meats,13066065422,,
CPRT,Copart,Industrials,Diversified Support Services,33442736760,,
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,20565852689,,
CRM,Salesforce,Information Technology,Application Software,2.34E+11,,
CSCO,Cisco Systems,Information Technology,Communications Equipment,2.38E+11,,
CSX,CSX,Industrials,Railroads,76235782240,,
CTAS,Cintas Corporation,Industrials,Diversified Support Services,40018220000,,
CTLT,Catalent,Health Care,Pharmaceuticals,20490380000,,
CTSH,Cognizant Technology Solutions,Information Technology,IT Consulting & Other Services,40817878552,,
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,33959727175,,
CTXS,Citrix Systems,Information Technology,Application Software,12682850000,,
CVS,CVS Health,Health Care,Health Care Services,1.12E+11,,
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,1.98E+11,,
CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming,19654731864,,
D,Dominion Energy,Utilities,Electric Utilities,62754784226,,
DAL,Delta Air Lines,Industrials,Airlines,25820566215,,
DD,DuPont,Materials,Specialty Chemicals,40385207807,,
DE,Deere & Co.,Industrials,Agricultural & Farm Machinery,1.20E+11,,
DFS,Discover Financial Services,Financials,Consumer Finance,40530053256,,
DG,Dollar General,Consumer Discretionary,General Merchandise Stores,55980703500,,
DGX,Quest Diagnostics,Health Care,Health Care Services,18091300000,,
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,34805749848,,
DHR,Danaher Corporation,Health Care,Health Care Equipment,2.24E+11,,
DIS,The Walt Disney Company,Communication Services,Movies & Entertainment,3.32E+11,,
DISCA,Discovery (Series A),Communication Services,Broadcasting,14193670000,,
DISCK,Discovery (Series C),Communication Services,Broadcasting,14193670000,,
DISH,Dish Network,Communication Services,Cable & Satellite,22588378868,,
DLR,Digital Realty Trust,Real Estate,Specialized REITs,44789640933,,
DLTR,Dollar Tree,Consumer Discretionary,General Merchandise Stores,23596670247,,
DOV,Dover Corporation,Industrials,Industrial Machinery,24787187762,,
DOW,Dow,Materials,Commodity Chemicals,47647360302,,
DPZ,Domino's Pizza,Consumer Discretionary,Restaurants,19017140902,,
DRE,Duke Realty Corp,Real Estate,Industrial REITs,19208340000,,
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,18500290000,,
DTE,DTE Energy,Utilities,Multi-Utilities,23343192768,,
DUK,Duke Energy,Utilities,Electric Utilities,81511318720,,
DVA,DaVita,Health Care,Health Care Facilities,13768624000,,
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,19220030000,,
DXC,DXC Technology,Information Technology,IT Consulting & Other Services,10319255553,,
DXCM,DexCom,Health Care,Health Care Equipment,47713655013,,
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,39558293109,,
EBAY,eBay,Consumer Discretionary,Internet & Direct Marketing Retail,49769573493,,
ECL,Ecolab,Materials,Specialty Chemicals,63125140680,,
ED,Consolidated Edison,Utilities,Electric Utilities,27468367314,,
EFX,Equifax,Industrials,Research & Consulting Services,31672824507,,
EIX,Edison International,Utilities,Electric Utilities,21698230796,,
EL,Estée Lauder Companies,Consumer Staples,Personal Products,1.19E+11,,
EMN,Eastman Chemical,Materials,Diversified Chemicals,15794250000,,
EMR,Emerson Electric Company,Industrials,Electrical Components & Equipment,62153266000,,
ENPH,Enphase Energy,Information Technology,Electronic Components,23646200317,,
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,40195855469,,
EQIX,Equinix,Real Estate,Specialized REITs,72840372933,,
EQR,Equity Residential,Real Estate,Residential REITs,30825324935,,
ES,Eversource Energy,Utilities,Multi-Utilities,30972561616,,
ESS,Essex Property Trust,Real Estate,Residential REITs,20523034991,,
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,66795394999,,
ETR,Entergy,Utilities,Electric Utilities,21954290050,,
ETSY,Etsy,Consumer Discretionary,Internet & Direct Marketing Retail,24156549396,,
EVRG,Evergy,Utilities,Electric Utilities,15553269774,,
EW,Edwards Lifesciences,Health Care,Health Care Equipment,70155543890,,
EXC,Exelon,Utilities,Multi-Utilities,47190201276,,
EXPD,Expeditors,Industrials,Air Freight & Logistics,21000251232,,
EXPE,Expedia Group,Consumer Discretionary,Internet & Direct Marketing Retail,22486478081,,
EXR,Extra Space Storage,Real Estate,Specialized REITs,23440362814,,
F,Ford,Consumer Discretionary,Automobile Manufacturers,53937309569,,
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,14370230000,,
FAST,Fastenal,Industrials,Building Products,31829067972,,
FB,Facebook,Communication Services,Interactive Media & Services,1.02E+12,,
FBHS,Fortune Brands Home & Security,Industrials,Building Products,14113290000,,
FCX,Freeport-McMoRan,Materials,Copper,56380997920,,
FDX,FedEx,Industrials,Air Freight & Logistics,74344187456,,
FE,FirstEnergy,Utilities,Electric Utilities,20986830040,,
FFIV,F5 Networks,Information Technology,Communications Equipment,12341695717,,
FIS,Fidelity National Information Services,Information Technology,Data Processing & Outsourced Services,82908607671,,
FISV,Fiserv,Information Technology,Data Processing & Outsourced Services,73782847674,,
FITB,Fifth Third Bancorp,Financials,Regional Banks,26680030414,,
FLT,Fleetcor,Information Technology,Data Processing & Outsourced Services,21778573601,,
FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,12146649372,,
FOX,Fox Corporation (Class B),Communication Services,Movies & Entertainment,20560320000,,
FOXA,Fox Corporation (Class A),Communication Services,Movies & Entertainment,20560320000,,
FRC,First Republic Bank,Financials,Regional Banks,34984598010,,
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,9339953614,,
FTNT,Fortinet,Information Technology,Systems Software,49938417554,,
FTV,Fortive,Industrials,Industrial Machinery,27205453219,,
GD,General Dynamics,Industrials,Aerospace & Defense,55595193632,,
GE,General Electric,Industrials,Industrial Conglomerates,1.17E+11,,
GILD,Gilead Sciences,Health Care,Biotechnology,88870020000,,
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,36361701825,,
GL,Globe Life,Financials,Life & Health Insurance,9799254001,,
GLW,Corning,Information Technology,Electronic Components,34383332346,,
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,78531009780,,
GNRC,Generac Holdings,Industrials,Electrical Components & Equipment,26247792126,,
GOOG,Alphabet (Class C),Communication Services,Interactive Media & Services,1.84E+12,,
GOOGL,Alphabet (Class A),Communication Services,Interactive Media & Services,1.84E+12,,
GPC,Genuine Parts,Consumer Discretionary,Specialty Stores,17904426750,,
GPN,Global Payments,Information Technology,Data Processing & Outsourced Services,49969489291,,
GPS,Gap,Consumer Discretionary,Apparel Retail,11086403528,,
GRMN,Garmin,Consumer Discretionary,Consumer Electronics,32208148593,,
GS,Goldman Sachs,Financials,Investment Banking & Brokerage,1.38E+11,,
